id,hospcode,areacode,flag_sent,date_com,b_year,type_13,uc,sso,ofc,osm,ageing,child,disab,home,village,school,student,childcenter,caregiver,osk,opd,opd_visit,opd_pt,opd_pt_visit,ip
"8ec43f9ee8a5b450912a021b7b914f7e","23795","34190106","0","202206271409","2565","10","4","0","1","0","2","0","0",0,0,0,0,0,0,0,0,0,0,0,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03753","34200301","0","202206271409","2565","3059","1950","36","95","88","628","277","68",1463,9,4,0,3,1,0,3791,13102,984,2328,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03732","34190206","0","202206271409","2565","9085","3525","183","233","259","1625","549","8",3747,20,9,0,5,0,0,8521,25111,3021,6149,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03731","34152601","0","202206271409","2565","7858","4103","73","112","136","1261","434","10",2215,12,4,0,0,0,0,5424,15143,1893,4099,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10956","34190100","0","202206271409","2565","6111","2659","284","1137","210","1510","233","19",0,0,0,0,0,0,0,76714,246235,34695,88439,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03733","34190401","0","202206271409","2565","5203","2705","179","210","134","946","345","283",1792,10,5,0,2,0,0,5366,18457,1706,4656,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03735","34190508","0","202206271409","2565","5650","2719","50","163","105","896","323","17",1494,10,3,0,0,0,0,5144,17982,1887,5032,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03728","34152105","0","202206271409","2565","7115","3215","39","647","140","1211","495","33",2431,12,2,0,0,0,0,5480,13487,1817,3939,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03726","34151807","0","202206271409","2565","10830","5868","1497","1713","251","2090","633","11",4459,21,3,0,0,0,0,9196,25382,2010,5032,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03744","34191204","0","202206271409","2565","6157","3666","21","252","57","1300","434","100",2404,15,6,0,0,0,0,5982,25005,1412,4812,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03725","34151606","0","202206271409","2565","5714","3240","37","205","216","968","407","34",1750,38,4,0,1,0,0,5068,19319,1240,3990,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03724","34151505","0","202206271409","2565","7030","3957","24","494","150","1106","417","101",2130,11,3,0,0,0,0,7192,24356,1427,3371,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","14832","34151500","0","202206271409","2565","7571","3849","341","968","80","1424","258","164",3731,10,2,0,0,0,0,1526,2653,192,340,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03723","34151116","0","202206271409","2565","4306","2806","65","84","93","827","308","144",1197,11,3,0,0,0,0,4431,20323,1770,4577,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03722","34151101","0","202206271409","2565","4069","2491","206","270","125","794","250","12",1396,9,3,0,0,0,0,4156,18610,1539,3748,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10954","34151003","0","202206271409","2565","2664","852","29","33","19","664","30","3",1022,8,0,0,0,0,0,128500,345735,56574,121593,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03671","34111204","0","202206271409","2565","2115","1503","41","81","56","448","151","32",878,11,2,0,0,0,0,2750,11554,1243,3563,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03719","34150811","0","202206271409","2565","2833","1645","19","45","70","533","197","99",876,8,4,0,0,3,0,2973,12257,821,2077,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","13877","34150811","0","202206271409","2565","3564","2497","543","133","83","649","238","83",1053,9,3,0,0,0,0,3739,14189,837,2313,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03718","34150704","0","202206271409","2565","6318","3911","156","274","203","1156","376","244",1919,12,5,0,3,0,0,5277,21032,1911,4758,"203.157.102.134"
